IDENTIFIER,MAJOR,ORIGIN,COLOR,FOOD,RATING,TIMESTAMP
IDENTIFIER,MAJOR,ORIGIN,COLOR,FOOD,RATING,TIMESTAMP
dei6n,Economics,Cary,Purple,Gyros,4,2017-07-24T15:23:53-0400
ohqu7,Computer Science,China,Green,Pizza,5,2017-07-24T15:24:24-0400
